abnormal_subdomain,nb_external_redirection,longest_words_raw,longest_word_host,phish_hints,suspecious_tld,dns_record,status
0,0,11,11,0,0,1,legitimate
0,0,32,19,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,5,5,0,0,0,legitimate
0,0,11,7,0,0,0,legitimate
0,0,7,7,0,0,0,phishing
0,0,5,5,0,0,0,legitimate
0,0,32,19,0,0,0,phishing
0,0,21,21,0,0,0,legitimate
0,0,10,6,1,0,0,legitimate
0,0,15,15,0,0,0,legitimate
0,0,8,8,0,0,0,legitimate
0,0,10,10,0,0,0,legitimate
0,0,8,4,0,0,0,phishing
0,0,8,8,0,0,0,legitimate
0,0,12,12,0,0,0,phishing
0,0,14,14,0,0,0,legitimate
0,0,12,12,0,0,0,phishing
0,0,15,15,0,0,1,phishing
0,0,11,11,0,0,0,legitimate
0,0,8,4,0,0,0,legitimate
0,0,9,7,0,0,0,legitimate
0,0,7,7,0,0,0,phishing
0,0,9,6,0,0,0,legitimate
0,0,17,13,0,0,0,phishing
0,0,19,19,0,0,0,phishing
0,0,19,19,0,0,0,legitimate
0,0,8,6,0,0,0,legitimate
0,0,15,13,0,0,0,phishing
0,0,18,7,1,1,0,phishing
0,0,10,10,0,0,0,legitimate
0,0,32,9,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,21,7,0,0,0,legitimate
0,0,19,19,0,0,0,legitimate
0,0,20,20,0,0,0,phishing
0,0,6,6,0,0,0,legitimate
0,0,3,3,0,0,0,legitimate
0,0,7,7,1,0,0,legitimate
0,0,26,26,4,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,32,10,2,0,0,phishing
0,0,5,5,0,0,0,legitimate
0,0,13,13,0,0,0,legitimate
0,0,40,10,0,0,0,phishing
0,0,10,7,0,0,0,legitimate
0,0,14,14,0,0,0,phishing
0,0,9,3,0,0,0,legitimate
0,0,40,10,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,44,10,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,10,9,0,0,0,legitimate
0,0,16,16,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,32,19,0,0,0,phishing
0,0,16,16,0,0,0,legitimate
0,0,9,6,2,0,0,phishing
0,0,16,6,1,0,0,phishing
0,0,19,19,0,0,0,legitimate
0,0,18,18,2,0,0,phishing
0,0,9,7,0,0,0,legitimate
0,0,8,5,0,0,0,legitimate
0,0,15,15,0,0,0,phishing
0,0,16,16,0,0,0,phishing
0,0,10,7,0,0,0,phishing
